match_id,season_id,team_batting,team_bowling,match_winner,result,win_by_runs,win_by_wickets,toss_winner,toss_decision,venue,city,venue_region
335982,2008,6,1,6,win,140.0,,1,field,M Chinnaswamy Stadium,Bangalore,India
1082591,2017,2,1,2,win,35.0,,1,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
1082593,2017,5,6,6,win,,10.0,6,field,Saurashtra Cricket Association Stadium,Rajkot,India
1082592,2017,3,4,4,win,,7.0,4,field,Maharashtra Cricket Association Stadium,Pune,India
1082594,2017,4,494,494,win,,6.0,494,field,Holkar Cricket Stadium,Indore,India
1082601,2017,494,6,6,win,,8.0,6,field,Eden Gardens,Kolkata,India
1082595,2017,1,252,1,win,15.0,,1,bat,M.Chinnaswamy Stadium,Bengaluru,India
1082596,2017,5,2,2,win,,9.0,2,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
1082597,2017,6,3,3,win,,4.0,3,field,Wankhede Stadium,Mumbai,India
1082598,2017,1,494,494,win,,8.0,1,bat,Holkar Cricket Stadium,Indore,India
1082599,2017,252,4,252,win,97.0,,4,field,Maharashtra Cricket Association Stadium,Pune,India
1082600,2017,2,3,3,win,,4.0,3,field,Wankhede Stadium,Mumbai,India
1082602,2017,1,3,3,win,,4.0,3,field,M Chinnaswamy Stadium,Bangalore,India
1082603,2017,4,5,5,win,,7.0,5,field,Saurashtra Cricket Association Stadium,Rajkot,India
1082604,2017,6,2,6,win,17.0,,2,field,Eden Gardens,Kolkata,India
1082605,2017,252,494,252,win,51.0,,252,bat,Feroz Shah Kotla,Delhi,India
1082608,2017,252,6,6,win,,4.0,252,bat,Feroz Shah Kotla,Delhi,India
1082606,2017,5,3,3,win,,6.0,3,field,Wankhede Stadium,Mumbai,India
1082607,2017,4,1,4,win,27.0,,1,field,M Chinnaswamy Stadium,Bangalore,India
1082609,2017,2,494,2,win,5.0,,494,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
1082610,2017,1,5,1,win,21.0,,5,field,Saurashtra Cricket Association Stadium,Rajkot,India
1082612,2017,494,3,3,win,,8.0,3,field,Holkar Cricket Stadium,Indore,India
1082611,2017,2,252,2,win,15.0,,2,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
1082613,2017,5,6,5,win,,4.0,5,field,Eden Gardens,Kolkata,India
1082614,2017,252,3,3,win,14.0,,252,field,Wankhede Stadium,Mumbai,India
1082615,2017,2,4,4,win,,6.0,4,field,Maharashtra Cricket Association Stadium,Pune,India
1082616,2017,494,5,494,win,26.0,,5,field,Saurashtra Cricket Association Stadium,Rajkot,India
1082617,2017,6,1,6,win,82.0,,1,field,Eden Gardens,Kolkata,India
1082618,2017,4,3,4,win,3.0,,3,field,Wankhede Stadium,Mumbai,India
1082620,2017,4,6,6,win,,7.0,6,field,Maharashtra Cricket Association Stadium,Pune,India
1082621,2017,1,5,5,win,,7.0,5,field,M Chinnaswamy Stadium,Bangalore,India
1082622,2017,252,6,6,win,,7.0,6,field,Eden Gardens,Kolkata,India
1082623,2017,2,494,2,win,26.0,,494,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India
1082624,2017,4,1,4,win,61.0,,1,field,Maharashtra Cricket Association Stadium,Pune,India
1082625,2017,3,5,3,tie,,,5,bat,Saurashtra Cricket Association Stadium,Rajkot,India
1082626,2017,252,494,494,win,,10.0,494,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India
1082627,2017,2,6,2,win,48.0,,6,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
1082628,2017,1,3,3,win,,5.0,1,bat,Wankhede Stadium,Mumbai,India
1082629,2017,5,4,4,win,,5.0,4,field,Maharashtra Cricket Association Stadium,Pune,India
1082630,2017,2,252,252,win,,6.0,252,field,Feroz Shah Kotla,Delhi,India
1082631,2017,6,4,4,win,,4.0,4,field,Eden Gardens,Kolkata,India
1082632,2017,5,252,252,win,,7.0,252,field,Feroz Shah Kotla,Delhi,India
1082633,2017,494,1,494,win,19.0,,1,field,M Chinnaswamy Stadium,Bangalore,India
1082639,2017,6,494,494,win,14.0,,6,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India
1082634,2017,4,2,4,win,12.0,,2,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
1082635,2017,3,252,3,win,146.0,,252,field,Feroz Shah Kotla,Delhi,India
1082636,2017,1,6,6,win,,6.0,6,field,M Chinnaswamy Stadium,Bangalore,India
1082637,2017,494,5,5,win,,6.0,5,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India
1082638,2017,3,2,2,win,,7.0,3,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
1082642,2017,4,252,252,win,7.0,,252,bat,Feroz Shah Kotla,Delhi,India
1082640,2017,5,252,252,win,,2.0,252,field,Green Park,Kanpur,India
1082641,2017,494,3,494,win,7.0,,3,field,Wankhede Stadium,Mumbai,India
1082643,2017,5,2,2,win,,8.0,2,field,Green Park,Kanpur,India
1082644,2017,3,6,3,win,9.0,,6,field,Eden Gardens,Kolkata,India
1082645,2017,494,4,4,win,,9.0,4,field,Maharashtra Cricket Association Stadium,Pune,India
1082646,2017,1,252,1,win,10.0,,1,bat,Feroz Shah Kotla,Delhi,India
1082649,2017,3,6,3,win,,6.0,3,field,M Chinnaswamy Stadium,Bangalore,India
1082647,2017,4,3,4,win,20.0,,3,field,Wankhede Stadium,Mumbai,India
1082648,2017,2,6,6,win,,7.0,6,field,M Chinnaswamy Stadium,Bangalore,India
1082650,2017,3,4,3,win,1.0,,3,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
1136561,2018,129,3,129,win,,1.0,129,field,Wankhede Stadium,Mumbai,India
1136562,2018,252,494,494,win,,6.0,494,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,India
1136563,2018,1,6,6,win,,4.0,6,field,Eden Gardens,Kolkata,India
1136564,2018,134,2,2,win,,9.0,2,field,Rajiv Gandhi International Stadium,Hyderabad,India
1136565,2018,6,129,129,win,,5.0,129,field,MA Chidambaram Stadium,Chennai,India
1136566,2018,134,252,134,win,10.0,,252,field,Sawai Mansingh Stadium,Jaipur,India
1136567,2018,3,2,2,win,,1.0,2,field,Rajiv Gandhi International Stadium,Hyderabad,India
1136568,2018,494,1,1,win,,4.0,1,field,M.Chinnaswamy Stadium,Bengaluru,India
1136569,2018,3,252,252,win,,7.0,252,field,Wankhede Stadium,Mumbai,India
1136570,2018,2,6,2,win,,5.0,2,field,Eden Gardens,Kolkata,India
1136571,2018,1,134,134,win,19.0,,1,field,M.Chinnaswamy Stadium,Bengaluru,India
1136573,2018,252,6,6,win,71.0,,252,field,Eden Gardens,Kolkata,India
1136572,2018,494,129,494,win,4.0,,129,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,India
1136574,2018,3,1,3,win,46.0,,1,field,Wankhede Stadium,Mumbai,India
1136575,2018,134,6,6,win,,7.0,6,field,Sawai Mansingh Stadium,Jaipur,India
1136576,2018,494,2,494,win,15.0,,494,bat,Punjab Cricket Association IS Bindra Stadium,Chandigarh,India
1136577,2018,129,134,129,win,64.0,,134,field,Maharashtra Cricket Association Stadium,Pune,India
1136578,2018,6,494,494,win,,9.0,494,field,Eden Gardens,Kolkata,India
1136579,2018,252,1,1,win,,6.0,1,field,M.Chinnaswamy Stadium,Bengaluru,India
1136580,2018,129,2,129,win,4.0,,2,field,Rajiv Gandhi International Stadium,Hyderabad,India
1136581,2018,3,134,134,win,,3.0,3,bat,Sawai Mansingh Stadium,Jaipur,India
1136582,2018,494,252,494,win,4.0,,252,field,Arun Jaitley Stadium,Delhi,India
1136584,2018,129,1,129,win,,5.0,129,field,M.Chinnaswamy Stadium,Bengaluru,India
1136583,2018,2,3,2,win,31.0,,3,field,Wankhede Stadium,Mumbai,India
1136585,2018,2,494,2,win,13.0,,494,field,Rajiv Gandhi International Stadium,Hyderabad,India
1136586,2018,252,6,252,win,55.0,,6,field,Arun Jaitley Stadium,Delhi,India
1136587,2018,129,3,3,win,,8.0,3,field,Maharashtra Cricket Association Stadium,Pune,India
1136588,2018,2,134,2,win,11.0,,2,bat,Sawai Mansingh Stadium,Jaipur,India
1136589,2018,1,6,6,win,,6.0,6,field,M.Chinnaswamy Stadium,Bengaluru,India
1136590,2018,129,252,129,win,13.0,,252,field,Maharashtra Cricket Association Stadium,Pune,India
1136591,2018,1,3,1,win,14.0,,3,field,M.Chinnaswamy Stadium,Bengaluru,India
1136592,2018,252,134,252,win,4.0,,134,field,Arun Jaitley Stadium,Delhi,India
1136593,2018,129,6,6,win,,6.0,6,field,Eden Gardens,Kolkata,India
1136594,2018,494,3,3,win,,6.0,3,field,Holkar Cricket Stadium,Indore,India
1136595,2018,1,129,129,win,,6.0,129,field,Maharashtra Cricket Association Stadium,Pune,India
1136596,2018,252,2,2,win,,7.0,252,bat,Rajiv Gandhi International Stadium,Hyderabad,India
1136597,2018,3,6,3,win,13.0,,6,field,Wankhede Stadium,Mumbai,India
1136598,2018,134,494,494,win,,6.0,494,field,Holkar Cricket Stadium,Indore,India
1136599,2018,2,1,2,win,5.0,,1,field,Rajiv Gandhi International Stadium,Hyderabad,India
1136600,2018,134,494,134,win,15.0,,134,bat,Sawai Mansingh Stadium,Jaipur,India
1136601,2018,3,6,3,win,102.0,,6,field,Eden Gardens,Kolkata,India
1136602,2018,252,2,2,win,,9.0,252,bat,Arun Jaitley Stadium,Delhi,India
1136603,2018,129,134,134,win,,4.0,129,bat,Sawai Mansingh Stadium,Jaipur,India
1136604,2018,6,494,6,win,31.0,,494,field,Holkar Cricket Stadium,Indore,India
1136605,2018,252,1,1,win,,5.0,1,field,Arun Jaitley Stadium,Delhi,India
1136606,2018,2,129,129,win,,8.0,129,field,Maharashtra Cricket Association Stadium,Pune,India
1136608,2018,494,1,1,win,,10.0,1,field,Holkar Cricket Stadium,Indore,India
1136607,2018,3,134,134,win,,7.0,134,field,Wankhede Stadium,Mumbai,India
1136609,2018,134,6,6,win,,6.0,6,field,Eden Gardens,Kolkata,India
1136610,2018,3,494,3,win,3.0,,494,field,Wankhede Stadium,Mumbai,India
1136611,2018,1,2,1,win,14.0,,2,field,M.Chinnaswamy Stadium,Bengaluru,India
1136612,2018,252,129,252,win,34.0,,129,field,Arun Jaitley Stadium,Delhi,India
1136613,2018,134,1,134,win,30.0,,134,bat,Sawai Mansingh Stadium,Jaipur,India
1136614,2018,2,6,6,win,,5.0,2,bat,Rajiv Gandhi International Stadium,Hyderabad,India
1136615,2018,252,3,252,win,11.0,,252,bat,Arun Jaitley Stadium,Delhi,India
1136616,2018,494,129,129,win,,5.0,129,field,Maharashtra Cricket Association Stadium,Pune,India
1175357,2019,2,6,6,win,,6.0,6,field,Eden Gardens,Kolkata,India
1136617,2018,2,129,129,win,,2.0,129,field,Wankhede Stadium,Mumbai,India
1136618,2018,6,134,6,win,25.0,,134,field,Eden Gardens,Kolkata,India
1136619,2018,2,6,2,win,14.0,,6,field,Eden Gardens,Kolkata,India
1136620,2018,2,129,129,win,,8.0,129,field,Wankhede Stadium,Mumbai,India
1175356,2019,1,129,129,win,,7.0,129,field,MA Chidambaram Stadium,Chennai,India
1175358,2019,252,3,252,win,37.0,,3,field,Wankhede Stadium,Mumbai,India
1175360,2019,129,252,129,win,,6.0,252,bat,Arun Jaitley Stadium,Delhi,India
1175359,2019,494,134,494,win,14.0,,134,field,Sawai Mansingh Stadium,Jaipur,India
1175361,2019,6,494,6,win,28.0,,494,field,Eden Gardens,Kolkata,India
1175362,2019,3,1,3,win,6.0,,1,field,M.Chinnaswamy Stadium,Bengaluru,India
1175363,2019,134,2,2,win,,5.0,134,bat,Rajiv Gandhi International Stadium,Hyderabad,India
1175364,2019,3,494,494,win,,8.0,494,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,India
1175365,2019,6,252,252,tie,,,252,field,Arun Jaitley Stadium,Delhi,India
1175366,2019,2,1,2,win,118.0,,1,field,Rajiv Gandhi International Stadium,Hyderabad,India
1175367,2019,129,134,129,win,8.0,,134,field,MA Chidambaram Stadium,Chennai,India
1175368,2019,494,252,494,win,14.0,,252,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,India
1175369,2019,1,134,134,win,,7.0,134,field,Sawai Mansingh Stadium,Jaipur,India
1175370,2019,3,129,3,win,37.0,,129,field,Wankhede Stadium,Mumbai,India
1175371,2019,252,2,2,win,,5.0,2,field,Arun Jaitley Stadium,Delhi,India
1175372,2019,1,6,6,win,,5.0,6,field,M.Chinnaswamy Stadium,Bengaluru,India
1178395,2019,252,1,252,win,,4.0,252,field,M.Chinnaswamy Stadium,Bengaluru,India
1178393,2019,129,494,129,win,22.0,,129,bat,MA Chidambaram Stadium,Chennai,India
1178394,2019,3,2,3,win,40.0,,2,field,Rajiv Gandhi International Stadium,Hyderabad,India
1178396,2019,134,6,6,win,,8.0,6,field,Sawai Mansingh Stadium,Jaipur,India
1178397,2019,2,494,494,win,,6.0,494,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,India
1178398,2019,6,129,129,win,,7.0,129,field,MA Chidambaram Stadium,Chennai,India
1178399,2019,494,3,3,win,,3.0,3,field,Wankhede Stadium,Mumbai,India
1178400,2019,134,129,129,win,,4.0,129,field,Sawai Mansingh Stadium,Jaipur,India
1178401,2019,6,252,252,win,,7.0,252,field,Eden Gardens,Kolkata,India
1178402,2019,3,134,134,win,,4.0,134,field,Wankhede Stadium,Mumbai,India
1178403,2019,494,1,1,win,,8.0,1,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,India
1178404,2019,6,129,129,win,,5.0,129,field,Eden Gardens,Kolkata,India
1178407,2019,494,134,494,win,12.0,,134,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,India
1178405,2019,252,2,252,win,39.0,,2,field,Rajiv Gandhi International Stadium,Hyderabad,India
1178406,2019,1,3,3,win,,5.0,3,field,Wankhede Stadium,Mumbai,India
1178408,2019,129,2,2,win,,6.0,129,bat,Rajiv Gandhi International Stadium,Hyderabad,India
1178409,2019,3,252,3,win,40.0,,3,bat,Arun Jaitley Stadium,Delhi,India
1178410,2019,1,6,1,win,10.0,,6,field,Eden Gardens,Kolkata,India
1178411,2019,134,3,134,win,,5.0,134,field,Sawai Mansingh Stadium,Jaipur,India
1178414,2019,1,129,1,win,1.0,,129,field,M.Chinnaswamy Stadium,Bengaluru,India
1178412,2019,494,252,252,win,,5.0,252,field,Arun Jaitley Stadium,Delhi,India
1178413,2019,6,2,2,win,,9.0,2,field,Rajiv Gandhi International Stadium,Hyderabad,India
1178415,2019,134,252,252,win,,6.0,252,field,Sawai Mansingh Stadium,Jaipur,India
1178416,2019,2,129,129,win,,6.0,129,field,MA Chidambaram Stadium,Chennai,India
1178418,2019,6,134,134,win,,3.0,134,field,Eden Gardens,Kolkata,India
1178417,2019,1,494,1,win,17.0,,494,field,M.Chinnaswamy Stadium,Bengaluru,India
1178419,2019,3,129,3,win,46.0,,129,field,MA Chidambaram Stadium,Chennai,India
1178420,2019,2,134,134,win,,7.0,134,field,Sawai Mansingh Stadium,Jaipur,India
1178421,2019,252,1,252,win,16.0,,252,bat,Arun Jaitley Stadium,Delhi,India
1178422,2019,6,3,6,win,34.0,,3,field,Eden Gardens,Kolkata,India
1178423,2019,2,494,2,win,45.0,,494,field,Rajiv Gandhi International Stadium,Hyderabad,India
1178427,2019,494,6,6,win,,7.0,6,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,India
1178424,2019,1,134,134,no result,,,134,field,M.Chinnaswamy Stadium,Bengaluru,India
1178425,2019,129,252,129,win,80.0,,252,field,MA Chidambaram Stadium,Chennai,India
1178428,2019,252,134,252,win,,5.0,134,bat,Arun Jaitley Stadium,Delhi,India
1178426,2019,3,2,2,tie,,,3,bat,Wankhede Stadium,Mumbai,India
1178429,2019,2,1,1,win,,4.0,1,field,M.Chinnaswamy Stadium,Bengaluru,India
1178430,2019,129,494,494,win,,6.0,494,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,India
1178431,2019,6,3,3,win,,9.0,3,field,Wankhede Stadium,Mumbai,India
1181764,2019,129,3,3,win,,6.0,129,bat,MA Chidambaram Stadium,Chennai,India
1181766,2019,2,252,252,win,,2.0,252,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India
1216492,2020,3,129,129,win,,5.0,129,field,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1181767,2019,252,129,129,win,,6.0,129,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India
1181768,2019,3,129,3,win,1.0,,3,bat,Rajiv Gandhi International Stadium,Hyderabad,India
1216493,2020,252,494,494,tie,,,494,field,Dubai International Cricket Stadium,,Overseas
1216495,2020,2,3,2,win,,10.0,2,field,Sharjah Cricket Stadium,,Overseas
1216494,2020,6,1,1,win,,8.0,6,bat,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216496,2020,134,129,134,win,16.0,,129,field,Sharjah Cricket Stadium,,Overseas
1216497,2020,6,252,6,win,59.0,,252,field,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216498,2020,494,2,494,win,12.0,,2,field,Dubai International Cricket Stadium,,Overseas
1216499,2020,3,1,3,win,,5.0,3,field,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216500,2020,252,134,252,win,46.0,,134,field,Sharjah Cricket Stadium,,Overseas
1216501,2020,6,129,6,win,10.0,,6,bat,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216502,2020,1,2,2,win,,5.0,2,field,Sharjah Cricket Stadium,,Overseas
1216503,2020,3,494,3,win,48.0,,494,field,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216504,2020,6,134,6,win,37.0,,134,field,Dubai International Cricket Stadium,,Overseas
1216505,2020,1,252,252,win,,6.0,252,field,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216506,2020,494,129,129,win,,9.0,129,field,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216507,2020,2,134,134,win,,5.0,2,bat,Dubai International Cricket Stadium,,Overseas
1216508,2020,3,6,3,win,49.0,,6,field,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216509,2020,129,252,252,win,,5.0,129,bat,Sharjah Cricket Stadium,,Overseas
1216510,2020,494,1,494,win,97.0,,1,field,Dubai International Cricket Stadium,,Overseas
1216511,2020,3,134,3,win,57.0,,3,bat,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216512,2020,6,2,2,tie,,,2,field,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216513,2020,494,129,129,win,,10.0,494,bat,Dubai International Cricket Stadium,,Overseas
1216514,2020,134,1,1,win,,8.0,134,bat,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216515,2020,252,6,252,win,18.0,,6,field,Sharjah Cricket Stadium,,Overseas
1216516,2020,2,129,2,win,7.0,,2,bat,Dubai International Cricket Stadium,,Overseas
1216517,2020,3,494,494,tie,,,3,bat,Dubai International Cricket Stadium,,Overseas
1216518,2020,2,134,2,win,,8.0,2,field,Dubai International Cricket Stadium,,Overseas
1216519,2020,252,1,252,win,59.0,,1,field,Dubai International Cricket Stadium,,Overseas
1216520,2020,6,494,494,win,,8.0,494,field,Sharjah Cricket Stadium,,Overseas
1216521,2020,129,3,3,win,,10.0,3,field,Sharjah Cricket Stadium,,Overseas
1216522,2020,1,134,1,win,,7.0,134,bat,Dubai International Cricket Stadium,,Overseas
1216523,2020,6,494,6,win,2.0,,6,bat,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216524,2020,2,252,2,win,88.0,,252,field,Dubai International Cricket Stadium,,Overseas
1216525,2020,1,129,1,win,37.0,,1,bat,Dubai International Cricket Stadium,,Overseas
1216526,2020,6,3,3,win,,8.0,6,bat,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216527,2020,494,134,134,win,,4.0,134,field,Sharjah Cricket Stadium,,Overseas
1216533,2020,129,134,134,win,,7.0,129,bat,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216528,2020,129,2,129,win,20.0,,129,bat,Dubai International Cricket Stadium,,Overseas
1216529,2020,252,3,3,win,,5.0,252,bat,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216530,2020,6,134,6,win,60.0,,134,field,Dubai International Cricket Stadium,,Overseas
1216531,2020,1,494,494,win,,8.0,1,bat,Sharjah Cricket Stadium,,Overseas
1216532,2020,2,252,2,win,15.0,,252,field,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216536,2020,6,129,129,win,,6.0,129,field,Dubai International Cricket Stadium,,Overseas
1216534,2020,1,2,1,win,10.0,,2,field,Dubai International Cricket Stadium,,Overseas
1216535,2020,252,3,3,win,,9.0,3,field,Dubai International Cricket Stadium,,Overseas
1216537,2020,494,134,134,win,,7.0,134,field,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216539,2020,252,129,252,win,44.0,,129,field,Dubai International Cricket Stadium,,Overseas
1216538,2020,3,2,3,win,34.0,,3,bat,Sharjah Cricket Stadium,,Overseas
1216540,2020,1,6,1,win,82.0,,1,bat,Sharjah Cricket Stadium,,Overseas
1216541,2020,3,134,134,win,,8.0,3,bat,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216542,2020,2,494,2,win,69.0,,2,bat,Dubai International Cricket Stadium,,Overseas
1216543,2020,252,134,252,win,13.0,,252,bat,Dubai International Cricket Stadium,,Overseas
1216544,2020,1,129,129,win,,8.0,1,bat,Dubai International Cricket Stadium,,Overseas
1216545,2020,2,6,6,win,,7.0,2,bat,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1216546,2020,252,494,494,win,,5.0,252,bat,Dubai International Cricket Stadium,,Overseas
1216547,2020,1,3,3,tie,,,3,field,Dubai International Cricket Stadium,,Overseas
1254061,2021,494,134,494,win,4.0,,134,field,"Wankhede Stadium, Mumbai",Mumbai,India
1237177,2020,3,252,3,win,57.0,,252,field,Dubai International Cricket Stadium,,Overseas
1237178,2020,1,2,2,win,,6.0,2,field,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1237180,2020,252,2,252,win,17.0,,252,bat,Sheikh Zayed Stadium,Abu Dhabi,Overseas
1237181,2020,252,3,3,win,,5.0,252,bat,Dubai International Cricket Stadium,,Overseas
1254058,2021,3,1,1,win,,2.0,1,field,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India
1254059,2021,129,252,252,win,,7.0,252,field,"Wankhede Stadium, Mumbai",Mumbai,India
1254060,2021,6,2,6,win,10.0,,2,field,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India
