venue_region,season,venue,matches,toss_win_match_win_pct,toss_win_bat_first_pct,toss_win_field_first_pct,toss_decision_unknown_pct
India,2008,Eden Gardens,7,42.9,85.7,14.3,0.0
India,2008,M Chinnaswamy Stadium,7,71.4,14.3,85.7,0.0
India,2008,"MA Chidambaram Stadium, Chepauk",7,42.9,57.1,42.9,0.0
India,2008,"Punjab Cricket Association Stadium, Mohali",7,42.9,57.1,42.9,0.0
India,2008,"Rajiv Gandhi International Stadium, Uppal",7,42.9,57.1,42.9,0.0
India,2008,Sawai Mansingh Stadium,7,57.1,42.9,57.1,0.0
India,2008,Feroz Shah Kotla,6,33.3,33.3,66.7,0.0
India,2008,Wankhede Stadium,6,33.3,33.3,66.7,0.0
India,2008,Dr DY Patil Sports Academy,4,75.0,0.0,100.0,0.0
India,2010,Eden Gardens,7,57.1,85.7,14.3,0.0
India,2010,Feroz Shah Kotla,7,57.1,85.7,14.3,0.0
India,2010,M Chinnaswamy Stadium,7,42.9,14.3,85.7,0.0
India,2010,"MA Chidambaram Stadium, Chepauk",7,42.9,85.7,14.3,0.0
India,2010,Brabourne Stadium,6,66.7,83.3,16.7,0.0
India,2010,Dr DY Patil Sports Academy,6,50.0,66.7,33.3,0.0
India,2010,"Punjab Cricket Association Stadium, Mohali",5,40.0,60.0,40.0,0.0
India,2010,"Sardar Patel Stadium, Motera",4,75.0,75.0,25.0,0.0
India,2010,Sawai Mansingh Stadium,3,0.0,66.7,33.3,0.0
India,2010,"Vidarbha Cricket Association Stadium, Jamtha",3,33.3,66.7,33.3,0.0
India,2010,Barabati Stadium,2,50.0,50.0,50.0,0.0
India,2010,Himachal Pradesh Cricket Association Stadium,2,100.0,0.0,100.0,0.0
India,2010,"Brabourne Stadium, Mumbai",1,100.0,0.0,100.0,0.0
India,2011,"MA Chidambaram Stadium, Chepauk",9,66.7,77.8,22.2,0.0
India,2011,Wankhede Stadium,9,44.4,33.3,66.7,0.0
India,2011,Dr DY Patil Sports Academy,7,42.9,42.9,57.1,0.0
India,2011,Eden Gardens,7,71.4,28.6,71.4,0.0
India,2011,Feroz Shah Kotla,7,42.9,42.9,57.1,0.0
India,2011,"Rajiv Gandhi International Stadium, Uppal",7,42.9,14.3,85.7,0.0
India,2011,Sawai Mansingh Stadium,7,71.4,14.3,85.7,0.0
India,2011,M Chinnaswamy Stadium,6,50.0,16.7,83.3,0.0
India,2011,Nehru Stadium,5,40.0,40.0,60.0,0.0
India,2011,"Punjab Cricket Association Stadium, Mohali",4,25.0,25.0,75.0,0.0
India,2011,Himachal Pradesh Cricket Association Stadium,3,33.3,33.3,66.7,0.0
India,2011,Holkar Cricket Stadium,2,100.0,0.0,100.0,0.0
India,2012,"MA Chidambaram Stadium, Chepauk",10,40.0,60.0,40.0,0.0
India,2012,Subrata Roy Sahara Stadium,9,55.6,88.9,11.1,0.0
India,2012,Feroz Shah Kotla,8,25.0,50.0,50.0,0.0
India,2012,M Chinnaswamy Stadium,8,50.0,25.0,75.0,0.0
India,2012,Sawai Mansingh Stadium,8,25.0,50.0,50.0,0.0
India,2012,Wankhede Stadium,8,50.0,12.5,87.5,0.0
India,2012,Eden Gardens,7,71.4,57.1,42.9,0.0
India,2012,"Punjab Cricket Association Stadium, Mohali",6,50.0,66.7,33.3,0.0
India,2012,"Rajiv Gandhi International Stadium, Uppal",4,0.0,50.0,50.0,0.0
India,2012,Barabati Stadium,2,100.0,50.0,50.0,0.0
India,2012,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,0.0,50.0,50.0,0.0
India,2012,Himachal Pradesh Cricket Association Stadium,2,100.0,0.0,100.0,0.0
India,2013,Eden Gardens,8,37.5,87.5,12.5,0.0
India,2013,Feroz Shah Kotla,8,50.0,75.0,25.0,0.0
India,2013,M Chinnaswamy Stadium,8,37.5,12.5,87.5,0.0
India,2013,"MA Chidambaram Stadium, Chepauk",8,62.5,75.0,25.0,0.0
India,2013,"Rajiv Gandhi International Stadium, Uppal",8,25.0,75.0,25.0,0.0
India,2013,Sawai Mansingh Stadium,8,50.0,50.0,50.0,0.0
India,2013,Wankhede Stadium,8,75.0,87.5,12.5,0.0
India,2013,Subrata Roy Sahara Stadium,7,57.1,100.0,0.0,0.0
India,2013,"Punjab Cricket Association Stadium, Mohali",6,66.7,0.0,100.0,0.0
India,2013,Himachal Pradesh Cricket Association Stadium,2,0.0,0.0,100.0,0.0
India,2013,JSCA International Stadium Complex,2,50.0,0.0,100.0,0.0
India,2013,Shaheed Veer Narayan Singh International Stadium,2,0.0,50.0,50.0,0.0
India,2013,Maharashtra Cricket Association Stadium,1,0.0,0.0,100.0,0.0
India,2014,M Chinnaswamy Stadium,6,50.0,16.7,83.3,0.0
India,2014,Wankhede Stadium,6,33.3,16.7,83.3,0.0
India,2014,Feroz Shah Kotla,5,80.0,20.0,80.0,0.0
India,2014,Eden Gardens,4,50.0,0.0,100.0,0.0
India,2014,JSCA International Stadium Complex,4,50.0,75.0,25.0,0.0
India,2014,"Rajiv Gandhi International Stadium, Uppal",4,25.0,75.0,25.0,0.0
India,2014,"Sardar Patel Stadium, Motera",4,25.0,25.0,75.0,0.0
India,2014,Barabati Stadium,3,66.7,0.0,100.0,0.0
India,2014,"Punjab Cricket Association Stadium, Mohali",3,66.7,0.0,100.0,0.0
India,2014,Brabourne Stadium,1,100.0,0.0,100.0,0.0
India,2015,Wankhede Stadium,8,37.5,62.5,37.5,0.0
India,2015,Eden Gardens,7,57.1,28.6,71.4,0.0
India,2015,M Chinnaswamy Stadium,7,42.9,0.0,100.0,0.0
India,2015,"MA Chidambaram Stadium, Chepauk",7,57.1,71.4,28.6,0.0
India,2015,Feroz Shah Kotla,5,80.0,0.0,100.0,0.0
India,2015,Maharashtra Cricket Association Stadium,4,50.0,50.0,50.0,0.0
India,2015,"Punjab Cricket Association Stadium, Mohali",4,25.0,50.0,50.0,0.0
India,2015,"Rajiv Gandhi International Stadium, Uppal",4,25.0,75.0,25.0,0.0
India,2015,"Sardar Patel Stadium, Motera",4,50.0,50.0,50.0,0.0
India,2015,Brabourne Stadium,3,33.3,33.3,66.7,0.0
India,2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,3,66.7,33.3,66.7,0.0
India,2015,Shaheed Veer Narayan Singh International Stadium,2,50.0,100.0,0.0,0.0
India,2015,JSCA International Stadium Complex,1,100.0,0.0,100.0,0.0
India,2016,M Chinnaswamy Stadium,9,66.7,11.1,88.9,0.0
India,2016,Eden Gardens,7,57.1,14.3,85.7,0.0
India,2016,Feroz Shah Kotla,7,42.9,0.0,100.0,0.0
India,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",7,28.6,28.6,71.4,0.0
India,2016,"Rajiv Gandhi International Stadium, Uppal",7,71.4,14.3,85.7,0.0
India,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,6,33.3,50.0,50.0,0.0
India,2016,Saurashtra Cricket Association Stadium,5,40.0,40.0,60.0,0.0
India,2016,Maharashtra Cricket Association Stadium,4,75.0,0.0,100.0,0.0
India,2016,Wankhede Stadium,4,75.0,25.0,75.0,0.0
India,2016,Green Park,2,100.0,0.0,100.0,0.0
India,2016,Shaheed Veer Narayan Singh International Stadium,2,100.0,0.0,100.0,0.0
India,2017,"Rajiv Gandhi International Stadium, Uppal",8,37.5,37.5,62.5,0.0
India,2017,Wankhede Stadium,8,37.5,12.5,87.5,0.0
India,2017,Eden Gardens,7,57.1,0.0,100.0,0.0
India,2017,Feroz Shah Kotla,7,71.4,57.1,42.9,0.0
India,2017,M Chinnaswamy Stadium,7,71.4,0.0,100.0,0.0
India,2017,Maharashtra Cricket Association Stadium,7,71.4,0.0,100.0,0.0
India,2017,Saurashtra Cricket Association Stadium,5,40.0,20.0,80.0,0.0
India,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,50.0,0.0,100.0,0.0
India,2017,Holkar Cricket Stadium,3,66.7,33.3,66.7,0.0
India,2017,Green Park,2,100.0,0.0,100.0,0.0
India,2017,M.Chinnaswamy Stadium,1,100.0,100.0,0.0,0.0
India,2018,Eden Gardens,9,55.6,0.0,100.0,0.0
India,2018,Wankhede Stadium,9,55.6,0.0,100.0,0.0
India,2018,Arun Jaitley Stadium,7,28.6,28.6,71.4,0.0
India,2018,M.Chinnaswamy Stadium,7,57.1,0.0,100.0,0.0
India,2018,Rajiv Gandhi International Stadium,7,28.6,28.6,71.4,0.0
India,2018,Sawai Mansingh Stadium,7,57.1,71.4,28.6,0.0
India,2018,Maharashtra Cricket Association Stadium,6,66.7,0.0,100.0,0.0
India,2018,Holkar Cricket Stadium,4,75.0,0.0,100.0,0.0
India,2018,Punjab Cricket Association IS Bindra Stadium,3,66.7,33.3,66.7,0.0
India,2018,MA Chidambaram Stadium,1,100.0,0.0,100.0,0.0
India,2019,MA Chidambaram Stadium,8,50.0,25.0,75.0,0.0
India,2019,Rajiv Gandhi International Stadium,8,25.0,37.5,62.5,0.0
India,2019,Arun Jaitley Stadium,7,71.4,57.1,42.9,0.0
India,2019,Eden Gardens,7,57.1,0.0,100.0,0.0
India,2019,M.Chinnaswamy Stadium,7,57.1,0.0,100.0,0.0
India,2019,Punjab Cricket Association IS Bindra Stadium,7,71.4,0.0,100.0,0.0
India,2019,Sawai Mansingh Stadium,7,85.7,0.0,100.0,0.0
India,2019,Wankhede Stadium,7,57.1,14.3,85.7,0.0
India,2019,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,100.0,0.0,100.0,0.0
India,2021,"MA Chidambaram Stadium, Chepauk, Chennai",10,40.0,50.0,50.0,0.0
India,2021,"Wankhede Stadium, Mumbai",10,70.0,10.0,90.0,0.0
India,2021,"Narendra Modi Stadium, Ahmedabad",5,60.0,0.0,100.0,0.0
India,2021,"Arun Jaitley Stadium, Delhi",4,50.0,25.0,75.0,0.0
India,2022,"Wankhede Stadium, Mumbai",21,52.4,28.6,71.4,0.0
India,2022,"Dr DY Patil Sports Academy, Mumbai",20,55.0,15.0,85.0,0.0
India,2022,"Brabourne Stadium, Mumbai",16,43.8,18.8,81.2,0.0
India,2022,"Maharashtra Cricket Association Stadium, Pune",13,38.5,15.4,84.6,0.0
India,2022,"Eden Gardens, Kolkata",2,50.0,0.0,100.0,0.0
India,2022,"Narendra Modi Stadium, Ahmedabad",2,50.0,50.0,50.0,0.0
India,2023,"MA Chidambaram Stadium, Chepauk, Chennai",9,44.4,44.4,55.6,0.0
India,2023,"Narendra Modi Stadium, Ahmedabad",9,44.4,22.2,77.8,0.0
India,2023,"Arun Jaitley Stadium, Delhi",7,71.4,42.9,57.1,0.0
India,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",7,57.1,42.9,57.1,0.0
India,2023,"Eden Gardens, Kolkata",7,28.6,14.3,85.7,0.0
India,2023,"M Chinnaswamy Stadium, Bengaluru",7,42.9,0.0,100.0,0.0
India,2023,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",7,57.1,42.9,57.1,0.0
India,2023,"Wankhede Stadium, Mumbai",7,57.1,14.3,85.7,0.0
India,2023,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,40.0,0.0,100.0,0.0
India,2023,"Sawai Mansingh Stadium, Jaipur",5,40.0,80.0,20.0,0.0
India,2023,"Barsapara Cricket Stadium, Guwahati",2,0.0,0.0,100.0,0.0
India,2023,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,50.0,0.0,100.0,0.0
India,2024,"MA Chidambaram Stadium, Chepauk, Chennai",9,33.3,33.3,66.7,0.0
India,2024,"Narendra Modi Stadium, Ahmedabad",8,50.0,25.0,75.0,0.0
India,2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",7,71.4,42.9,57.1,0.0
India,2024,"Eden Gardens, Kolkata",7,42.9,14.3,85.7,0.0
India,2024,"M Chinnaswamy Stadium, Bengaluru",7,42.9,0.0,100.0,0.0
India,2024,"Wankhede Stadium, Mumbai",7,42.9,0.0,100.0,0.0
India,2024,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",6,50.0,66.7,33.3,0.0
India,2024,"Arun Jaitley Stadium, Delhi",5,0.0,0.0,100.0,0.0
India,2024,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,40.0,20.0,80.0,0.0
India,2024,"Sawai Mansingh Stadium, Jaipur",5,60.0,40.0,60.0,0.0
India,2024,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,100.0,100.0,0.0,0.0
India,2024,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,0.0,0.0,100.0,0.0
India,2024,"Barsapara Cricket Stadium, Guwahati",1,0.0,100.0,0.0,0.0
India,2025,"Narendra Modi Stadium, Ahmedabad",9,33.3,11.1,88.9,0.0
India,2025,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",8,75.0,0.0,100.0,0.0
India,2025,"Arun Jaitley Stadium, Delhi",7,71.4,14.3,85.7,0.0
India,2025,"Eden Gardens, Kolkata",7,28.6,42.9,57.1,0.0
India,2025,"Sawai Mansingh Stadium, Jaipur",7,85.7,28.6,71.4,0.0
India,2025,"Wankhede Stadium, Mumbai",7,57.1,0.0,100.0,0.0
India,2025,"MA Chidambaram Stadium, Chepauk, Chennai",6,83.3,16.7,83.3,0.0
India,2025,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",6,66.7,16.7,83.3,0.0
India,2025,"M Chinnaswamy Stadium, Bengaluru",5,60.0,0.0,100.0,0.0
India,2025,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,80.0,40.0,60.0,0.0
India,2025,"Barsapara Cricket Stadium, Guwahati",2,50.0,0.0,100.0,0.0
India,2025,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,50.0,50.0,50.0,0.0
India,2025,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,0.0,50.0,50.0,0.0
India,2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,100.0,100.0,0.0,0.0
India,All Time,Eden Gardens,77,55.8,36.4,63.6,0.0
India,All Time,Wankhede Stadium,73,49.3,30.1,69.9,0.0
India,All Time,M Chinnaswamy Stadium,65,53.9,12.3,87.7,0.0
India,All Time,Feroz Shah Kotla,60,51.7,43.3,56.7,0.0
India,All Time,"Wankhede Stadium, Mumbai",52,55.8,15.4,84.6,0.0
India,All Time,"Rajiv Gandhi International Stadium, Uppal",49,36.7,46.9,53.1,0.0
India,All Time,"MA Chidambaram Stadium, Chepauk",48,52.1,70.8,29.2,0.0
India,All Time,Sawai Mansingh Stadium,47,53.2,40.4,59.6,0.0
India,All Time,"Punjab Cricket Association Stadium, Mohali",35,45.7,40.0,60.0,0.0
India,All Time,"MA Chidambaram Stadium, Chepauk, Chennai",34,47.0,38.2,61.8,0.0
India,All Time,"Narendra Modi Stadium, Ahmedabad",33,45.4,18.2,81.8,0.0
India,All Time,"Arun Jaitley Stadium, Delhi",23,52.2,21.8,78.2,0.0
India,All Time,"Eden Gardens, Kolkata",23,34.8,21.8,78.2,0.0
India,All Time,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",22,68.2,27.3,72.7,0.0
India,All Time,Maharashtra Cricket Association Stadium,22,63.6,9.1,90.9,0.0
India,All Time,"Dr DY Patil Sports Academy, Mumbai",20,55.0,15.0,85.0,0.0
India,All Time,"M Chinnaswamy Stadium, Bengaluru",19,47.4,0.0,100.0,0.0
India,All Time,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",19,57.9,42.1,57.9,0.0
India,All Time,"Brabourne Stadium, Mumbai",17,47.1,17.7,82.3,0.0
India,All Time,Dr DY Patil Sports Academy,17,53.0,41.2,58.8,0.0
India,All Time,"Sawai Mansingh Stadium, Jaipur",17,64.7,47.1,52.9,0.0
India,All Time,Subrata Roy Sahara Stadium,16,56.3,93.8,6.2,0.0
India,All Time,M.Chinnaswamy Stadium,15,60.0,6.7,93.3,0.0
India,All Time,Rajiv Gandhi International Stadium,15,26.7,33.3,66.7,0.0
India,All Time,Arun Jaitley Stadium,14,50.0,42.8,57.2,0.0
India,All Time,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,46.1,38.5,61.5,0.0
India,All Time,"Maharashtra Cricket Association Stadium, Pune",13,38.5,15.4,84.6,0.0
India,All Time,"Sardar Patel Stadium, Motera",12,50.0,50.0,50.0,0.0
India,All Time,"Punjab Cricket Association IS Bindra Stadium, Mohali",11,36.4,18.2,81.8,0.0
India,All Time,Brabourne Stadium,10,60.0,60.0,40.0,0.0
India,All Time,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",10,60.0,30.0,70.0,0.0
India,All Time,Punjab Cricket Association IS Bindra Stadium,10,70.0,10.0,90.0,0.0
India,All Time,Saurashtra Cricket Association Stadium,10,40.0,30.0,70.0,0.0
India,All Time,Himachal Pradesh Cricket Association Stadium,9,55.5,11.1,88.9,0.0
India,All Time,Holkar Cricket Stadium,9,77.8,11.1,88.9,0.0
India,All Time,MA Chidambaram Stadium,9,55.6,22.2,77.8,0.0
India,All Time,Barabati Stadium,7,71.4,28.6,71.4,0.0
India,All Time,JSCA International Stadium Complex,7,57.1,42.9,57.1,0.0
India,All Time,"Himachal Pradesh Cricket Association Stadium, Dharamsala",6,16.7,16.7,83.3,0.0
India,All Time,Shaheed Veer Narayan Singh International Stadium,6,50.0,50.0,50.0,0.0
India,All Time,"Barsapara Cricket Stadium, Guwahati",5,20.0,20.0,80.0,0.0
India,All Time,Nehru Stadium,5,40.0,40.0,60.0,0.0
India,All Time,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,40.0,0.0,100.0,0.0
India,All Time,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4,75.0,75.0,25.0,0.0
India,All Time,Green Park,4,100.0,0.0,100.0,0.0
India,All Time,"Vidarbha Cricket Association Stadium, Jamtha",3,33.3,66.7,33.3,0.0
India,All Time,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,100.0,100.0,0.0,0.0
Overseas,2009,Kingsmead,15,60.0,66.7,33.3,0.0
Overseas,2009,SuperSport Park,12,66.7,50.0,50.0,0.0
Overseas,2009,New Wanderers Stadium,8,37.5,25.0,75.0,0.0
Overseas,2009,Newlands,7,57.1,57.1,42.9,0.0
Overseas,2009,St George's Park,7,42.9,100.0,0.0,0.0
Overseas,2009,Buffalo Park,3,66.7,100.0,0.0,0.0
Overseas,2009,De Beers Diamond Oval,3,66.7,66.7,33.3,0.0
Overseas,2009,OUTsurance Oval,2,100.0,50.0,50.0,0.0
Overseas,2014,Dubai International Cricket Stadium,7,42.9,42.9,57.1,0.0
Overseas,2014,Sheikh Zayed Stadium,7,71.4,57.1,42.9,0.0
Overseas,2014,Sharjah Cricket Stadium,6,33.3,33.3,66.7,0.0
Overseas,2020,Dubai International Cricket Stadium,26,38.5,46.2,53.8,0.0
Overseas,2020,Sheikh Zayed Stadium,22,50.0,50.0,50.0,0.0
Overseas,2020,Sharjah Cricket Stadium,12,58.3,33.3,66.7,0.0
Overseas,2021,Dubai International Cricket Stadium,13,53.8,30.8,69.2,0.0
Overseas,2021,Sharjah Cricket Stadium,10,70.0,20.0,80.0,0.0
Overseas,2021,"Zayed Cricket Stadium, Abu Dhabi",8,50.0,37.5,62.5,0.0
Overseas,All Time,Dubai International Cricket Stadium,46,43.5,41.3,58.7,0.0
Overseas,All Time,Sheikh Zayed Stadium,29,55.2,51.7,48.3,0.0
Overseas,All Time,Sharjah Cricket Stadium,28,57.1,28.6,71.4,0.0
Overseas,All Time,Kingsmead,15,60.0,66.7,33.3,0.0
Overseas,All Time,SuperSport Park,12,66.7,50.0,50.0,0.0
Overseas,All Time,New Wanderers Stadium,8,37.5,25.0,75.0,0.0
Overseas,All Time,"Zayed Cricket Stadium, Abu Dhabi",8,50.0,37.5,62.5,0.0
Overseas,All Time,Newlands,7,57.1,57.1,42.9,0.0
Overseas,All Time,St George's Park,7,42.9,100.0,0.0,0.0
Overseas,All Time,Buffalo Park,3,66.7,100.0,0.0,0.0
Overseas,All Time,De Beers Diamond Oval,3,66.7,66.7,33.3,0.0
Overseas,All Time,OUTsurance Oval,2,100.0,50.0,50.0,0.0
