venue,phase,phase_runs
"ACA-VDCA Cricket Stadium, Vizag",Death (15-19),44.0
"ACA-VDCA Cricket Stadium, Vizag",Middle (6-14),69.32352941176471
"ACA-VDCA Cricket Stadium, Vizag",Powerplay (0-5),45.0
"Arun Jaitley Stadium, Delhi",Death (15-19),45.72527472527472
"Arun Jaitley Stadium, Delhi",Middle (6-14),71.22916666666667
"Arun Jaitley Stadium, Delhi",Powerplay (0-5),50.5699481865285
"Barabati Stadium, Cuttack",Death (15-19),49.5
"Barabati Stadium, Cuttack",Middle (6-14),69.64285714285714
"Barabati Stadium, Cuttack",Powerplay (0-5),43.57142857142857
"Barsapara Cricket Stadium, Guwahati",Death (15-19),46.1
"Barsapara Cricket Stadium, Guwahati",Middle (6-14),70.2
"Barsapara Cricket Stadium, Guwahati",Powerplay (0-5),51.8
"Brabourne Stadium, Mumbai",Death (15-19),48.78846153846154
"Brabourne Stadium, Mumbai",Middle (6-14),72.85185185185185
"Brabourne Stadium, Mumbai",Powerplay (0-5),52.48148148148148
"Buffalo Park, East London, SA",Death (15-19),47.0
"Buffalo Park, East London, SA",Middle (6-14),54.5
"Buffalo Park, East London, SA",Powerplay (0-5),39.5
"De Beers Diamond Oval, Kimberley, SA",Death (15-19),46.5
"De Beers Diamond Oval, Kimberley, SA",Middle (6-14),63.0
"De Beers Diamond Oval, Kimberley, SA",Powerplay (0-5),40.0
"Dr DY Patil Sports Academy, NAVI Mumbai",Death (15-19),43.16901408450704
"Dr DY Patil Sports Academy, NAVI Mumbai",Middle (6-14),68.13513513513513
"Dr DY Patil Sports Academy, NAVI Mumbai",Powerplay (0-5),44.270270270270274
"Dubai International Cricket Stadium, UAE",Death (15-19),45.41111111111111
"Dubai International Cricket Stadium, UAE",Middle (6-14),66.75
"Dubai International Cricket Stadium, UAE",Powerplay (0-5),45.25
"Eden Gardens, Kolkata",Death (15-19),44.98930481283423
"Eden Gardens, Kolkata",Middle (6-14),70.61616161616162
"Eden Gardens, Kolkata",Powerplay (0-5),49.145
"Ekana Cricket Stadium, Lucknow",Death (15-19),44.27906976744186
"Ekana Cricket Stadium, Lucknow",Middle (6-14),73.88372093023256
"Ekana Cricket Stadium, Lucknow",Powerplay (0-5),52.627906976744185
"Green Park, Kanpur",Death (15-19),40.57142857142857
"Green Park, Kanpur",Middle (6-14),71.75
"Green Park, Kanpur",Powerplay (0-5),55.0
"HPCA Stadium, Dharamsala",Death (15-19),50.357142857142854
"HPCA Stadium, Dharamsala",Middle (6-14),76.03448275862068
"HPCA Stadium, Dharamsala",Powerplay (0-5),46.689655172413794
"Holkar Cricket Stadium, Indore",Death (15-19),44.93333333333333
"Holkar Cricket Stadium, Indore",Middle (6-14),70.38888888888889
"Holkar Cricket Stadium, Indore",Powerplay (0-5),51.72222222222222
"JSCA International Stadium, Ranchi",Death (15-19),41.214285714285715
"JSCA International Stadium, Ranchi",Middle (6-14),66.85714285714286
"JSCA International Stadium, Ranchi",Powerplay (0-5),38.785714285714285
"Jawaharlal Nehru Stadium, Kochi",Death (15-19),36.666666666666664
"Jawaharlal Nehru Stadium, Kochi",Middle (6-14),63.5
"Jawaharlal Nehru Stadium, Kochi",Powerplay (0-5),39.8
"Kingsmead Cricket Ground, Durban",Death (15-19),41.724137931034484
"Kingsmead Cricket Ground, Durban",Middle (6-14),58.833333333333336
"Kingsmead Cricket Ground, Durban",Powerplay (0-5),45.93333333333333
"M Chinnaswamy Stadium, Bengaluru",Death (15-19),49.63841807909605
"M Chinnaswamy Stadium, Bengaluru",Middle (6-14),73.70984455958549
"M Chinnaswamy Stadium, Bengaluru",Powerplay (0-5),47.51776649746193
"MA Chidambaram Stadium, Chepauk, Chennai",Death (15-19),43.87709497206704
"MA Chidambaram Stadium, Chepauk, Chennai",Middle (6-14),65.82417582417582
"MA Chidambaram Stadium, Chepauk, Chennai",Powerplay (0-5),48.005494505494504
"MCA Stadium, Pune",Death (15-19),45.0
"MCA Stadium, Pune",Middle (6-14),65.73529411764706
"MCA Stadium, Pune",Powerplay (0-5),44.3921568627451
"MYS PCA Stadium, Mullanpur",Death (15-19),45.95
"MYS PCA Stadium, Mullanpur",Middle (6-14),69.81818181818181
"MYS PCA Stadium, Mullanpur",Powerplay (0-5),52.95454545454545
"Narendra Modi Stadium, Ahmedabad",Death (15-19),47.0919540229885
"Narendra Modi Stadium, Ahmedabad",Middle (6-14),75.4888888888889
"Narendra Modi Stadium, Ahmedabad",Powerplay (0-5),51.41111111111111
"Nava Raipur Stadium, New Raipur",Death (15-19),44.416666666666664
"Nava Raipur Stadium, New Raipur",Middle (6-14),62.333333333333336
"Nava Raipur Stadium, New Raipur",Powerplay (0-5),38.333333333333336
"New Wanderers Stadium, Johannesburg, SA",Death (15-19),41.9375
"New Wanderers Stadium, Johannesburg, SA",Middle (6-14),59.4375
"New Wanderers Stadium, Johannesburg, SA",Powerplay (0-5),41.875
"Newlands Cricket Stadium, Cape Town, SA",Death (15-19),40.27272727272727
"Newlands Cricket Stadium, Cape Town, SA",Middle (6-14),58.46153846153846
"Newlands Cricket Stadium, Cape Town, SA",Powerplay (0-5),40.07142857142857
"OUTsurance Oval, Bloemfontein, SA",Death (15-19),39.5
"OUTsurance Oval, Bloemfontein, SA",Middle (6-14),59.25
"OUTsurance Oval, Bloemfontein, SA",Powerplay (0-5),33.5
"PCA Stadium, Mohali",Death (15-19),44.48717948717949
"PCA Stadium, Mohali",Middle (6-14),71.18032786885246
"PCA Stadium, Mohali",Powerplay (0-5),48.97540983606557
"Rajiv Gandhi International Stadium, Uppal",Death (15-19),44.203821656050955
"Rajiv Gandhi International Stadium, Uppal",Middle (6-14),69.8048780487805
"Rajiv Gandhi International Stadium, Uppal",Powerplay (0-5),48.2969696969697
"SCA Stadium, Rajkot",Death (15-19),45.77777777777778
"SCA Stadium, Rajkot",Middle (6-14),69.3
"SCA Stadium, Rajkot",Powerplay (0-5),55.3
"Sawai Mansingh Stadium, Jaipur",Death (15-19),43.950413223140494
"Sawai Mansingh Stadium, Jaipur",Middle (6-14),70.86614173228347
"Sawai Mansingh Stadium, Jaipur",Powerplay (0-5),47.1953125
"Sharjah Cricket Stadium, UAE",Death (15-19),43.0377358490566
"Sharjah Cricket Stadium, UAE",Middle (6-14),67.0
"Sharjah Cricket Stadium, UAE",Powerplay (0-5),45.535714285714285
"Sheikh Zayed Stadium, UAE",Death (15-19),44.10909090909091
"Sheikh Zayed Stadium, UAE",Middle (6-14),66.74137931034483
"Sheikh Zayed Stadium, UAE",Powerplay (0-5),43.672413793103445
"St George's Park, Gqeberha, SA",Death (15-19),39.857142857142854
"St George's Park, Gqeberha, SA",Middle (6-14),60.57142857142857
"St George's Park, Gqeberha, SA",Powerplay (0-5),44.785714285714285
"SuperSport Park, Centurion, SA",Death (15-19),40.65217391304348
"SuperSport Park, Centurion, SA",Middle (6-14),68.0
"SuperSport Park, Centurion, SA",Powerplay (0-5),45.25
"VCA Stadium, Nagpur",Death (15-19),35.166666666666664
"VCA Stadium, Nagpur",Middle (6-14),67.66666666666667
"VCA Stadium, Nagpur",Powerplay (0-5),44.166666666666664
"Wankhede Stadium, Mumbai",Death (15-19),47.3625
"Wankhede Stadium, Mumbai",Middle (6-14),72.86345381526104
"Wankhede Stadium, Mumbai",Powerplay (0-5),47.176
"Zayed Cricket Stadium, Abu Dhabi",Death (15-19),39.86666666666667
"Zayed Cricket Stadium, Abu Dhabi",Middle (6-14),66.8125
"Zayed Cricket Stadium, Abu Dhabi",Powerplay (0-5),50.5
